platform,name,handle,external_id,date_launched,scope_type,bounty_min,bounty_max,link
Code4rena,Injective Peggy Bridge,2026-02-injective-peggy-bridge,Code4rena:2026-02-injective-peggy-bridge,2026-02-25,"smart contract,go",0.0,105500.0,https://code4rena.com/audits/2026-02-injective-peggy-bridge
Code4rena,Jupiter Lend,2026-02-jupiter-lend,Code4rena:2026-02-jupiter-lend,2026-02-12,"smart contract,rust",0.0,107000.0,https://code4rena.com/audits/2026-02-jupiter-lend
HackenProof,FMCPAY Web & Mobile,fmcpay-web-and-mobile,HackenProof:fmcpay-web-and-mobile,2026-08-01,"domain,mobile",50.0,5000.0,https://hackenproof.com/programs/fmcpay-web-and-mobile
HackenProof,BitKan Web & Mobile,bitkan-web-and-mobile,HackenProof:bitkan-web-and-mobile,2026-06-01,"domain,mobile,wildcard",100.0,1000.0,https://hackenproof.com/programs/bitkan-web-and-mobile
HackenProof,Flow Wallet,flow-wallet,HackenProof:flow-wallet,2026-06-01,"domain,mobile",200.0,25000.0,https://hackenproof.com/programs/flow-wallet
HackenProof,Rtree Finance Web,rtree-finance-web,HackenProof:rtree-finance-web,2026-06-01,"domain,wildcard",50.0,5000.0,https://hackenproof.com/programs/rtree-finance-web
HackenProof,ZO Finance Smart Contracts,zo-finance-smart-contracts,HackenProof:zo-finance-smart-contracts,2026-06-01,"move,other,smart contract",200.0,10000.0,https://hackenproof.com/programs/zo-finance-smart-contracts
HackenProof,ZO Finance Web,zo-finance-web,HackenProof:zo-finance-web,2026-06-01,"domain,wildcard",200.0,10000.0,https://hackenproof.com/programs/zo-finance-web
HackenProof,ZetaChain Blockchain Software,zetachain-blockchain-software,HackenProof:zetachain-blockchain-software,2026-06-01,"blockchain-dlt,go,other",1000.0,200000.0,https://hackenproof.com/programs/zetachain-blockchain-software
HackenProof,ZetaChain Smart Contracts,zetachain-smart-contracts,HackenProof:zetachain-smart-contracts,2026-06-01,"blockchain-dlt,other,smart contract,solidity",1000.0,100000.0,https://hackenproof.com/programs/zetachain-smart-contracts
HackenProof,Arcadia Finance Hack Recovery Program,arcadia-finance-hack-recovery-program,HackenProof:arcadia-finance-hack-recovery-program,2026-05-01,,0.0,360000.0,https://hackenproof.com/programs/arcadia-finance-hack-recovery-program
HackenProof,BigONE Hack Bounty Program,bigone-hack-bounty-program,HackenProof:bigone-hack-bounty-program,2026-05-01,,100.0,8100000.0,https://hackenproof.com/programs/bigone-hack-bounty-program
HackenProof,Bitmart Post-Incident Forensics Bounty Hunt,bitmart-post-incident-forensics-bounty-hunt,HackenProof:bitmart-post-incident-forensics-bounty-hunt,2026-05-01,,50.0,58000000.0,https://hackenproof.com/programs/bitmart-post-incident-forensics-bounty-hunt
HackenProof,BtcTurk Hack Recovery Program,btcturk-hack-recovery-program,HackenProof:btcturk-hack-recovery-program,2026-05-01,,0.0,2400000.0,https://hackenproof.com/programs/btcturk-hack-recovery-program
HackenProof,Meest Poshta Mobile,meest-poshta-mobile,HackenProof:meest-poshta-mobile,2026-05-01,"domain,mobile",50.0,1000.0,https://hackenproof.com/programs/meest-poshta-mobile
HackenProof,NOYA.ai Smart Contracts,noya-dot-ai-smart-contracts,HackenProof:noya-dot-ai-smart-contracts,2026-05-01,"other,smart contract,solidity",500.0,50000.0,https://hackenproof.com/programs/noya-dot-ai-smart-contracts
HackenProof,DeepFi Games,deepfi-games,HackenProof:deepfi-games,2026-04-01,domain,200.0,3000.0,https://hackenproof.com/programs/deepfi-games
HackenProof,DeepFi Trade,deepfi-trade,HackenProof:deepfi-trade,2026-04-01,domain,200.0,3000.0,https://hackenproof.com/programs/deepfi-trade
HackenProof,SG Forge Smart Contracts,sg-forge-smart-contracts,HackenProof:sg-forge-smart-contracts,2026-04-01,"domain,other,smart contract,solidity",200.0,10000.0,https://hackenproof.com/programs/sg-forge-smart-contracts
HackenProof,DoubleUp Smart Contracts,doubleup-smart-contracts,HackenProof:doubleup-smart-contracts,2026-03-01,"domain,move,smart contract",100.0,50000.0,https://hackenproof.com/programs/doubleup-smart-contracts
HackenProof,DoubleUp Web,doubleup-web,HackenProof:doubleup-web,2026-03-01,"domain,wildcard",100.0,10000.0,https://hackenproof.com/programs/doubleup-web
HackenProof,Multipli Smart Contracts,multipli-smart-contracts,HackenProof:multipli-smart-contracts,2026-02-24,"blockchain-dlt,domain,other,smart contract,solidity",0.0,10000.0,https://hackenproof.com/programs/multipli-smart-contracts
HackenProof,Multipli Web,multipli-web,HackenProof:multipli-web,2026-02-24,"domain,wildcard",0.0,2000.0,https://hackenproof.com/programs/multipli-web
HackenProof,NEAR Intents: SDK,near-intents-sdk,HackenProof:near-intents-sdk,2026-02-10,"blockchain-dlt,domain,javascript,other,typescript",100.0,20000.0,https://hackenproof.com/programs/near-intents-sdk
HackenProof,AlphaSec Web & Smart Contracts,alphasec-web-and-smart-contracts,HackenProof:alphasec-web-and-smart-contracts,2026-02-05,"domain,smart contract,solidity,wildcard",100.0,30000.0,https://hackenproof.com/programs/alphasec-web-and-smart-contracts
HackenProof,Mybucks.online Wallet Cracking Challenge,mybucks-dot-online-wallet-cracking-challenge,HackenProof:mybucks-dot-online-wallet-cracking-challenge,2026-02-03,"domain,javascript",1100.0,1100.0,https://hackenproof.com/programs/mybucks-dot-online-wallet-cracking-challenge
HackenProof,Citrea Protocol & Smart Contracts,citrea-protocol-and-smart-contracts,HackenProof:citrea-protocol-and-smart-contracts,2026-01-28,"blockchain-dlt,domain,other,rust,smart contract,solidity",1000.0,250000.0,https://hackenproof.com/programs/citrea-protocol-and-smart-contracts
HackenProof,Citrea Web & Apps,citrea-web-and-apps,HackenProof:citrea-web-and-apps,2026-01-28,domain,50.0,25000.0,https://hackenproof.com/programs/citrea-web-and-apps
HackenProof,CEX.IO Web & Mobile,cex-dot-io-web-and-mobile,HackenProof:cex-dot-io-web-and-mobile,2026-01-19,"domain,mobile",100.0,500.0,https://hackenproof.com/programs/cex-dot-io-web-and-mobile
HackenProof,Monday Trade Web,monday-trade-web,HackenProof:monday-trade-web,2026-01-19,domain,50.0,3000.0,https://hackenproof.com/programs/monday-trade-web
HackenProof,Solv Smart Contracts,solv-smart-contracts,HackenProof:solv-smart-contracts,2026-01-15,"other,rust,smart contract",200.0,50000.0,https://hackenproof.com/programs/solv-smart-contracts
HackenProof,Gate US,gate-us,HackenProof:gate-us,2026-01-13,domain,50.0,5000.0,https://hackenproof.com/programs/gate-us
HackenProof,Solv Web & Infrastructure,solv-web-and-infrastructure,HackenProof:solv-web-and-infrastructure,2025-12-29,"api,domain,wildcard",100.0,20000.0,https://hackenproof.com/programs/solv-web-and-infrastructure
HackenProof,Whitechain Bridge,whitechain-bridge,HackenProof:whitechain-bridge,2025-12-29,"other,smart contract,solidity",50.0,10000.0,https://hackenproof.com/programs/whitechain-bridge
HackenProof,ADI Foundation Smart Contracts,adi-foundation-smart-contracts,HackenProof:adi-foundation-smart-contracts,2025-12-09,"other,smart contract,solidity",200.0,10000.0,https://hackenproof.com/programs/adi-foundation-smart-contracts
HackenProof,ADI Foundation zkVM Verification,adi-foundation-zkvm-verification,HackenProof:adi-foundation-zkvm-verification,2025-12-09,"blockchain-dlt,other,rust,smart contract,solidity",200.0,10000.0,https://hackenproof.com/programs/adi-foundation-zkvm-verification
HackenProof,AMLBot Web,amlbot-web,HackenProof:amlbot-web,2025-12-09,domain,50.0,500.0,https://hackenproof.com/programs/amlbot-web
HackenProof,Kaia Protocol,kaia-protocol,HackenProof:kaia-protocol,2025-11-25,"blockchain-dlt,go,other,solidity",200.0,50000.0,https://hackenproof.com/programs/kaia-protocol
HackenProof,1inch Aqua,1inch-aqua,HackenProof:1inch-aqua,2025-11-17,"other,smart contract,solidity",100.0,100000.0,https://hackenproof.com/programs/1inch-aqua
HackenProof,Nado Smart Contracts,nado-smart-contracts,HackenProof:nado-smart-contracts,2025-11-17,"other,smart contract,solidity",50.0,500000.0,https://hackenproof.com/programs/nado-smart-contracts
HackenProof,Nado Web,nado-web,HackenProof:nado-web,2025-11-17,domain,50.0,10000.0,https://hackenproof.com/programs/nado-web
HackenProof,Phemex Web & Mobile,phemex-web-and-mobile,HackenProof:phemex-web-and-mobile,2025-11-13,"domain,mobile,wildcard",50.0,500000.0,https://hackenproof.com/programs/phemex-web-and-mobile
HackenProof,Bitkub Capital Group Holdings,bitkub-capital-group-holdings,HackenProof:bitkub-capital-group-holdings,2025-10-28,domain,50.0,1000.0,https://hackenproof.com/programs/bitkub-capital-group-holdings
HackenProof,Astros Smart Contracts,astros-smart-contracts,HackenProof:astros-smart-contracts,2025-10-16,"move,other,smart contract",150.0,150000.0,https://hackenproof.com/programs/astros-smart-contracts
HackenProof,NAVI Protocol,navi-protocol,HackenProof:navi-protocol,2025-10-16,"move,other,smart contract",300.0,300000.0,https://hackenproof.com/programs/navi-protocol
HackenProof,NAVI Protocol Web,navi-protocol-web,HackenProof:navi-protocol-web,2025-10-16,domain,100.0,10000.0,https://hackenproof.com/programs/navi-protocol-web
HackenProof,STBL Smart Contracts,stbl-smart-contracts,HackenProof:stbl-smart-contracts,2025-10-16,"domain,smart contract,solidity",200.0,20000.0,https://hackenproof.com/programs/stbl-smart-contracts
HackenProof,STBL Web,stbl-web,HackenProof:stbl-web,2025-10-16,"domain,wildcard",200.0,10000.0,https://hackenproof.com/programs/stbl-web
HackenProof,Volo Smart Contracts,volo-smart-contracts,HackenProof:volo-smart-contracts,2025-10-16,"move,other,smart contract",150.0,150000.0,https://hackenproof.com/programs/volo-smart-contracts
HackenProof,Volo Web,volo-web,HackenProof:volo-web,2025-10-16,domain,50.0,5000.0,https://hackenproof.com/programs/volo-web
HackenProof,Astros Web,astros-web,HackenProof:astros-web,2025-10-09,domain,50.0,5000.0,https://hackenproof.com/programs/astros-web
HackenProof,Momentum Smart Contracts,momentum-smart-contracts,HackenProof:momentum-smart-contracts,2025-10-08,"move,other,smart contract",50.0,200000.0,https://hackenproof.com/programs/momentum-smart-contracts
HackenProof,Ember Vaults Smart Contracts,ember-vaults-smart-contracts,HackenProof:ember-vaults-smart-contracts,2025-10-06,"move,other,smart contract",5000.0,15000.0,https://hackenproof.com/programs/ember-vaults-smart-contracts
HackenProof,FlowX CLMM Smart Contracts,flowx-clmm-smart-contracts,HackenProof:flowx-clmm-smart-contracts,2025-10-06,"move,other,smart contract",200.0,5000.0,https://hackenproof.com/programs/flowx-clmm-smart-contracts
HackenProof,Calyx Smart Contract,calyx-smart-contract,HackenProof:calyx-smart-contract,2025-10-03,"other,rust,smart contract",100.0,100000.0,https://hackenproof.com/programs/calyx-smart-contract
HackenProof,Turbos Finance Smart Contracts,turbos-finance-smart-contracts,HackenProof:turbos-finance-smart-contracts,2025-09-17,"move,other,smart contract",50.0,15000.0,https://hackenproof.com/programs/turbos-finance-smart-contracts
HackenProof,Snowbridge On-Chain Code,snowbridge-on-chain-code,HackenProof:snowbridge-on-chain-code,2025-09-11,"other,rust,smart contract,solidity",200.0,75000.0,https://hackenproof.com/programs/snowbridge-on-chain-code
HackenProof,Snowbridge Web,snowbridge-web,HackenProof:snowbridge-web,2025-09-11,"domain,other",200.0,15000.0,https://hackenproof.com/programs/snowbridge-web
HackenProof,Sweed Web,sweed-web,HackenProof:sweed-web,2025-09-09,domain,50.0,2000.0,https://hackenproof.com/programs/sweed-web
HackenProof,NEAR Intents: Smart Contracts,near-intents-smart-contracts,HackenProof:near-intents-smart-contracts,2025-09-08,"blockchain-dlt,other,rust,smart contract",100.0,300000.0,https://hackenproof.com/programs/near-intents-smart-contracts
HackenProof,Bluefin Dex Contracts,bluefin-dex-contracts,HackenProof:bluefin-dex-contracts,2025-09-02,"move,other,smart contract",5000.0,15000.0,https://hackenproof.com/programs/bluefin-dex-contracts
HackenProof,Kai Finance Yield Protocol,kai-finance-yield-protocol,HackenProof:kai-finance-yield-protocol,2025-09-02,"move,other,smart contract",5000.0,100000.0,https://hackenproof.com/programs/kai-finance-yield-protocol
HackenProof,Bucket Protocol Smart Contracts,bucket-protocol-smart-contracts,HackenProof:bucket-protocol-smart-contracts,2025-08-29,"move,other,smart contract",10.0,500000.0,https://hackenproof.com/programs/bucket-protocol-smart-contracts
HackenProof,Haedal Smart Contracts,haedal-smart-contracts,HackenProof:haedal-smart-contracts,2025-08-25,"move,other,smart contract",5.0,200000.0,https://hackenproof.com/programs/haedal-smart-contracts
HackenProof,OFZA Web,ofza-web,HackenProof:ofza-web,2025-08-13,"domain,wildcard",100.0,10000.0,https://hackenproof.com/programs/ofza-web
HackenProof,Bitkub Blockchain Technology,bitkub-blockchain-technology,HackenProof:bitkub-blockchain-technology,2025-08-08,"api,domain,mobile",50.0,2500.0,https://hackenproof.com/programs/bitkub-blockchain-technology
HackenProof,KUB Chain & Ecosystem,kub-chain-and-ecosystem,HackenProof:kub-chain-and-ecosystem,2025-08-08,"blockchain-dlt,domain,other,smart contract",100.0,5000.0,https://hackenproof.com/programs/kub-chain-and-ecosystem
HackenProof,Bag Labs Web,bag-labs-web,HackenProof:bag-labs-web,2025-08-05,domain,200.0,10000.0,https://hackenproof.com/programs/bag-labs-web
HackenProof,Layer3 Web,layer3-web,HackenProof:layer3-web,2025-08-05,domain,200.0,10000.0,https://hackenproof.com/programs/layer3-web
HackenProof,NoOnes Web & Mobile,noones-web-and-mobile,HackenProof:noones-web-and-mobile,2025-07-17,domain,150.0,5000.0,https://hackenproof.com/programs/noones-web-and-mobile
HackenProof,NonKyc.io,nonkyc-dot-io,HackenProof:nonkyc-dot-io,2025-07-08,"api,domain,mobile",50.0,5000.0,https://hackenproof.com/programs/nonkyc-dot-io
HackenProof,Cetus Smart Contracts,cetus-smart-contracts,HackenProof:cetus-smart-contracts,2025-07-07,"move,other,smart contract",10.0,300000.0,https://hackenproof.com/programs/cetus-smart-contracts
HackenProof,Zoomex Web & Mobile,zoomex-web-and-mobile,HackenProof:zoomex-web-and-mobile,2025-06-27,"domain,mobile",100.0,10000.0,https://hackenproof.com/programs/zoomex-web-and-mobile
HackenProof,Tapbit Web & Mobile,tapbit-web-and-mobile,HackenProof:tapbit-web-and-mobile,2025-06-25,"domain,mobile",200.0,10000.0,https://hackenproof.com/programs/tapbit-web-and-mobile
HackenProof,1inch Business,1inch-business,HackenProof:1inch-business,2025-06-23,"api,domain",100.0,100000.0,https://hackenproof.com/programs/1inch-business
HackenProof,1inch Infrastructure,1inch-infrastructure,HackenProof:1inch-infrastructure,2025-06-23,"api,domain",100.0,20000.0,https://hackenproof.com/programs/1inch-infrastructure
HackenProof,1inch Wallet,1inch-wallet,HackenProof:1inch-wallet,2025-06-23,"domain,mobile",100.0,100000.0,https://hackenproof.com/programs/1inch-wallet
HackenProof,1inch Web,1inch-web,HackenProof:1inch-web,2025-06-23,domain,100.0,50000.0,https://hackenproof.com/programs/1inch-web
HackenProof,SynFutures dApp,synfutures-dapp,HackenProof:synfutures-dapp,2025-06-17,domain,1000.0,10000.0,https://hackenproof.com/programs/synfutures-dapp
HackenProof,Bluefin Coin Contracts,bluefin-coin-contracts,HackenProof:bluefin-coin-contracts,2025-06-13,"move,other,smart contract",5000.0,15000.0,https://hackenproof.com/programs/bluefin-coin-contracts
HackenProof,GroveX Web & Mobile,grovex-web-and-mobile,HackenProof:grovex-web-and-mobile,2025-05-30,"domain,mobile,wildcard",100.0,1500.0,https://hackenproof.com/programs/grovex-web-and-mobile
HackenProof,KCEX,kcex,HackenProof:kcex,2025-05-29,"domain,mobile",200.0,5000.0,https://hackenproof.com/programs/kcex
HackenProof,Flipster Web & Mobile,flipster-web-and-mobile,HackenProof:flipster-web-and-mobile,2025-05-22,"api,domain,mobile",50.0,3000.0,https://hackenproof.com/programs/flipster-web-and-mobile
HackenProof,The Sandbox Public Infrastructure,the-sandbox-public-infrastructure,HackenProof:the-sandbox-public-infrastructure,2025-05-22,"domain,wildcard",100.0,5000.0,https://hackenproof.com/programs/the-sandbox-public-infrastructure
HackenProof,The Sandbox Smart Contracts,the-sandbox-smart-contracts,HackenProof:the-sandbox-smart-contracts,2025-05-22,"domain,smart contract,solidity",1000.0,200000.0,https://hackenproof.com/programs/the-sandbox-smart-contracts
HackenProof,Flow Protocol,flow-protocol,HackenProof:flow-protocol,2025-05-08,"blockchain-dlt,go,other,smart contract",1000.0,100000.0,https://hackenproof.com/programs/flow-protocol
HackenProof,Flow Web,flow-web,HackenProof:flow-web,2025-05-08,"domain,wildcard",500.0,4000.0,https://hackenproof.com/programs/flow-web
HackenProof,STON.fi DEX Smart Contracts v2,ston-dot-fi-dex-smart-contracts-v2,HackenProof:ston-dot-fi-dex-smart-contracts-v2,2025-04-22,"other,smart contract",5000.0,100000.0,https://hackenproof.com/programs/ston-dot-fi-dex-smart-contracts-v2
HackenProof,Blockchain.com Web & Mobile,blockchain-dot-com,HackenProof:blockchain-dot-com,2025-04-15,"api,domain,mobile",100.0,10000.0,https://hackenproof.com/programs/blockchain-dot-com
HackenProof,AscendEX Web & Mobile,ascendex-web-and-mobile,HackenProof:ascendex-web-and-mobile,2025-04-09,"domain,mobile,wildcard",100.0,500.0,https://hackenproof.com/programs/ascendex-web-and-mobile
HackenProof,LeveX Web & Mobile,levex-web-and-mobile,HackenProof:levex-web-and-mobile,2025-03-31,"domain,mobile,wildcard",100.0,5000.0,https://hackenproof.com/programs/levex-web-and-mobile
HackenProof,Walrus Smart Contracts,walrus-smart-contracts,HackenProof:walrus-smart-contracts,2025-03-27,"move,other,rust,smart contract",1000.0,100000.0,https://hackenproof.com/programs/walrus-smart-contracts
